track_name,track_id,track_popularity,playlist_id,playlist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_artist,language,emotion
Pangarap,0017A6SJgTbfQVU2EtsPNo,41,37i9dQZF1DWYDQ8wBxd7xt,rock,0.682,0.401,2,-10.068,1,0.0236,0.279,0.0117,0.0887,0.566,97.091,Barbie's Cradle,tl,6
I Feel Alive,004s3t0ONYlzxII9PLgU6z,28,3YouF0u7waJnolytf9JCXf,rock,0.303,0.88,9,-4.739,1,0.0442,0.0117,0.00994,0.347,0.404,135.225,Steady Rollin,en,1
Poison,00chLpzhgVjxs1zKC9UScL,0,3a9y4eeCJRmG9p4YKfqYIx,r&b,0.845,0.652,6,-7.504,0,0.216,0.00432,0.00723,0.489,0.65,111.904,Bell Biv DeVoe,en,10
Baby It's Cold Outside (feat. Christina Aguilera),00cqd6ZsSkLZqGMlQCR0Zo,41,6FZYc2BvF7tColxO8PBShV,r&b,0.425,0.378,5,-5.819,0,0.0341,0.689,0,0.0664,0.405,118.593,CeeLo Green,en,6
Dumb Litty,00emjlCv9azBN0fzuuyLqy,65,37i9dQZF1DX4RDXswvP6Mj,pop,0.76,0.887,9,-1.993,1,0.0409,0.037,0,0.138,0.24,130.018,KARD,en,7
Soldier,00f9VGHfQhAHMCQ2bSjg3D,70,4WiB26kw0INKwbzfb5M6Tv,r&b,0.496,0.639,6,-6.157,1,0.055,0.28,0,0.0975,0.305,147.764,James TW,en,5
Satisfy You,00FROhC5g4iJdax5US8jRr,52,3krpccUV68nBGAQbvHEZDC,r&b,0.764,0.594,6,-10.05,1,0.185,0.591,0,0.145,0.695,87.261,Diddy,en,7
Tender Lover,00GfGwzlSB8DoA0cDP2Eit,36,3ykXidKLz1eYPvuGoFlD1e,r&b,0.743,0.86,5,-6.346,1,0.0445,0.226,4.22E-04,0.0513,0.687,102.459,Babyface,en,7
Hide Away (feat. Envy Monroe),00Gu3RMpDW2vO9PjlMVFDL,42,7xWdFCrU5Gka6qp1ODrSdK,edm,0.573,0.746,10,-4.894,1,0.0421,0.0249,0,0.361,0.134,130.001,Blasterjaxx,en,1
Ti volevo dedicare (feat. J-AX & Boomdabash),00GxbkrW4m1Tac5xySEJ4M,78,6kVFIQBhLT4003iw2WWEv1,r&b,0.754,0.725,8,-6.058,1,0.0661,0.0104,0,0.192,0.271,120.002,Rocco Hunt,it,1
Una Vaina Loca,00hdjyXt6MohKnCyDmhxOL,1,6IS6XTdbS9qJZgfjNKgpB8,latin,0.794,0.882,1,-5.589,1,0.0361,0.114,7.98E-05,0.062,0.642,117.009,Fuego,es,1
Limestone,00HIh9mVUQQAycsQiciWsh,58,1pZWCY50kMUhshcESknir8,pop,0.706,0.457,4,-9.359,1,0.0383,0.282,0.00849,0.0614,0.723,78.014,Magic City Hippies,en,6
La Mordidita,00i0O74dXdaKKdCrqHnfXm,69,2kY6lVc5EcVfI5WNKmPQQG,latin,0.725,0.903,0,-2.955,1,0.0658,0.0344,0,0.183,0.946,142.006,Ricky Martin,es,1
Changes,00i2HU7TEzzftShjRrDSEF,72,0C2zyPdlkbWHrwVg9gqNdU,rap,0.865,0.657,7,-6.722,1,0.076,0.0404,0,0.14,0.316,111.115,2Pac,en,9
Latina (feat. Maluma),00Ia46AgCNfnXjzgH8PIKH,74,2kKzN3kRYDzBctlaWs7CP2,latin,0.826,0.713,9,-4.017,0,0.129,0.0748,0,0.331,0.75,102.071,Reykon,es,6
Let Me Entertain You - Remastered 2011,00ITtxUozN0vifE2uYvtqn,41,3E88dLx4fgFYY70gdGzdnB,rock,0.521,0.902,11,-4.826,0,0.197,0.0164,0.00105,0.737,0.592,104.708,Queen,en,7
Suga Suga,00LfFm08VWeZwB0Zlm24AT,8,0Ar0Ng9DlAWZtSPBvOQgOa,r&b,0.662,0.748,5,-3.041,0,0.268,0.688,8.43E-06,0.0841,0.535,82.331,Baby Bash,en,6
You Don't Know Me - Radio Edit,00lNx0OcTJrS3MKHcB80HY,14,1CMvQ4Yr5DlYvYzI0Vc2UE,pop,0.876,0.669,11,-6.054,0,0.138,0.163,0,0.185,0.682,124.007,Jax Jones,en,1
Secrets,00NAQYOP4AmWR549nnYJZu,71,4Pbs84EQbuAblxlp6Chz0d,r&b,0.665,0.771,0,-5.779,1,0.0533,0.0155,9.60E-06,0.46,0.764,109.945,The Weeknd,en,3
Me Enamor̩,00nvL9u5K8jEJ6TSxGdtPK,62,37i9dQZF1DX8womvTyUjrN,latin,0.495,0.357,11,-7.555,1,0.0439,0.968,0.00104,0.118,0.456,179.74,Jay Wheeler,es,5
"Stand Out - From ""How to Build a Better Boy""",00OKDIsSQbx8rd5Al7fKNw,33,6IT8LGpwLw3Pt2XnVUBN7j,pop,0.414,0.806,7,-2.892,1,0.0665,0.00792,9.33E-05,0.0488,0.77,96.044,Sabrina Carpenter,en,1
Laps,00p85inzGeXRXgqDVn7Ftq,36,4sGnz2x5tbHE2YlW1nemfb,rap,0.756,0.453,8,-9.965,1,0.318,0.0039,0,0.632,0.114,140.132,Zotiyac,en,10
