track_name,track_id,track_artist,playlist_id,track_popularity,loudness,instrumentalness,key,speechiness,acousticness,danceability,liveness,tempo,energy,valence,emotion
Hot,00WIXhVVhswHuS6dlkScuw,Confetti,2Z5cPJ6Z4EVZAfF08amjvL,51,-3.883,1.61E-06,7,0.107,0.00297,0.607,0.12,168.015,0.908,0.664,1
BenÃ©,00X2yv2vrtritPt2CZnUTZ,PNL,0UXwwVDipbBQeEX7h4YuKU,62,-7.649,0,7,0.108,0.491,0.784,0.108,82.028,0.7,0.769,6
Shine - Kygo Remix,00YeYHw6zhoy1y7EPTgIkj,Benjamin Francis Leftwich,4NlAd9NpIa92IjErMyAriM,48,-8.687,5.72E-04,4,0.138,0.402,0.703,0.243,112.017,0.599,0.312,1
Don't Let It Break Your Heart - Single Edit,00Z0GIRi0l7WqQnQJCo5S2,Louis Tomlinson,10FCW9lj0NdeoYI5VVvVtY,75,-4.046,0,10,0.0672,0.0226,0.362,0.0873,166.31,0.708,0.513,5
Been A While,011gUcrvLDn2gEApOdOhVe,Sam Feldt,4NlAd9NpIa92IjErMyAriM,2,-6.064,7.69E-04,1,0.031,0.425,0.779,0.107,120.004,0.695,0.392,1
Santa Claus Is Coming To Town,012mGdSYIBEmERuScm2iOl,The Jackson 5,6FZYc2BvF7tColxO8PBShV,28,-8.161,2.66E-04,5,0.0354,0.18,0.691,0.174,146.78,0.66,0.94,1
Dancing On My Own - TiÃ«sto Remix,014J7jX1wSv0manSdRnveo,Calum Scott,0cvVad4XizGbOS0vlwZYS5,9,-5.569,0.00104,1,0.036,0.0194,0.608,0.0897,121.96,0.648,0.114,2
Phenomenal,014V6u9VubefjaPPl1QkTJ,Eminem,39IFMVQdRNdb7kVfyTvHjM,1,-2.426,0,1,0.0466,0.153,0.64,0.0457,121.075,0.841,0.0471,9
Get Get Down - Radio Edit,01auWCuHXubb8KPZ0IXF4S,Merk & Kremont,7fRlDx99wBg6i45OCvxwKY,37,-4.087,0.0134,11,0.0764,0.00724,0.601,0.468,128.032,0.933,0.332,1
Beautiful Life,01Bw3xiZ5PQfn0btMWICaQ,Lost Frequencies,37i9dQZF1DX1bDvyV0IkZ3,30,-6.684,0.0347,2,0.0376,0.127,0.732,0.139,119.979,0.52,0.339,5
Suave,01bWQ4TPGmsP6FS64nF4R9,Tabitha,1d0fonZHpN4LYHTKbmNRbm,49,-3.966,0.0204,1,0.0993,0.00901,0.793,0.258,98.001,0.744,0.718,1
Pegao,01BXNQilWpOZxGLU9c12Iy,Wisin & Yandel,42E6uFhL4e2nXmbmeigwXb,38,-4.751,0,3,0.254,0.51,0.792,0.356,96.038,0.816,0.809,1
Try,01DSvNTUsVROjnSF5j3UbD,P!nk,6a66cg3HcsjYkisYyQcov6,10,-7.072,0,2,0.0299,0.00141,0.673,0.0944,103.998,0.629,0.551,5
Not To Much - Remastered 2016,01FBBpA6WBl3arX7pxTFwO,Don Omar,37i9dQZF1DWYBUdckfg1va,44,-4.59,0,1,0.0564,0.0197,0.752,0.203,92.004,0.726,0.261,7
Funky Friday,01IQ4aQgOf0Kkq3a273hmO,Dave,37i9dQZF1DX76t638V6CA8,72,-7.227,0,1,0.196,0.0783,0.975,0.107,125.066,0.535,0.671,2
First Love,01iyINEYgPQ7ThMZuHUsqS,Lost Kings,37i9dQZF1DWZQaaqNMbbXa,58,-5.245,1.39E-05,5,0.35,0.0257,0.619,0.128,94.38,0.938,0.601,5
Alone,01kmEgrTZAGvJNicVB7laT,Lund,7kzKtw5vug3IIxKfLadi8A,64,-15.506,0.703,2,0.0814,0.654,0.742,0.384,120.018,0.355,0.037,2
Now That We're Dead,01LODLnhlfNphZ366BqKc0,Metallica,6kXNv8J3HCYztxjOIUzApv,50,-3.591,0.103,2,0.0464,1.01E-04,0.566,0.266,128.304,0.951,0.345,9
Love Sosa,01Lr5YepbgjXAWR9iOEyH1,Chief Keef,3DUkl93JjPdOyX83SJr5ms,64,-8.193,0,0,0.089,0.0361,0.772,0.111,131.965,0.413,0.211,7
Mama Knew Love,01M4Wng6jF5uoNEHLl2OIn,Anthony Hamilton,0DIwi1dMI59NItQtiNcevy,41,-4.403,0,11,0.314,0.212,0.635,0.298,79.232,0.695,0.766,3
GenerÃ©,01nV5tQ4pCpKIIJ3AVxKdv,Bipo Montana,37i9dQZF1DWVFZbCNivv6B,46,-10.454,1.74E-04,9,0.324,0.778,0.743,0.298,88.041,0.565,0.753,3
Girlfriend in a Coma - 2011 Remaster,01q4ccXbvPlCwZ1fPiFaeM,The Smiths,7rPsfDTqiZYIT4PVzQ4c0c,56,-8.519,1.30E-06,7,0.0255,0.126,0.68,0.0995,104.333,0.626,0.96,1
Did It Again,01Qb6dN5suQNu87VJ1mIpf,Lil Tecca,7kzKtw5vug3IIxKfLadi8A,41,-9.922,0,1,0.159,0.218,0.699,0.112,148.767,0.575,0.234,3
I'll Be All You'll Ever Need,01QhVHvkGqzO861Kl3GhfX,Trinere,1oReEujyWpQv2OX68BVPPA,27,-8.195,2.90E-04,8,0.0546,0.00794,0.72,0.0619,123.551,0.814,0.77,5
Talk Dirty To Me,01R0Xdwje645C6xFCnMRvm,Poison,3Ho3iO0iJykgEQNbjB2sic,54,-13.267,0.00248,11,0.044,0.0211,0.507,0.381,157.996,0.804,0.708,1
Goodbye Love,01TzbTwZ9Mce9mOeBpH03i,Guy,4mciQwEuqaUMwIWKcDMFW0,45,-16.646,0,5,0.0291,0.112,0.68,0.0316,82.186,0.381,0.701,2
Morph,01vv2AjxgP4uUyb8waYO5Y,Twenty One Pilots,2Z5cPJ6Z4EVZAfF08amjvL,70,-7.249,5.77E-04,8,0.0806,0.0747,0.734,0.0968,90.023,0.607,0.518,8
50 Vezes - Ao Vivo,01wavOnjFBNgdMWBFYIAP4,Sorriso Maroto,5HmZtuuIDMtIy21kylqhx6,73,-6.428,1.54E-06,7,0.0277,0.822,0.557,0.952,147.872,0.657,0.574,1
Harlem Shake,01XFgRZfZI7oBagNf1Loml,Baauer,5aPwKjwNHr6dnCejLcPTVx,62,-5.151,0.00182,0,0.0483,0.0111,0.452,0.416,137.825,0.794,0.282,1
Always Gonna Say Sorry,020mPSviVz90DTlyfxofDJ,Joakim Molitor,7CEEEMKV41x0RlFCXWdvKF,1,-5.677,0,2,0.0433,0.216,0.531,0.054,77.353,0.63,0.328,5
SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),020wG4EHTwBy5h2rbpxqvK,Marracash,37i9dQZF1DWXU2naFUn37x,78,-5.888,0,9,0.0602,0.0686,0.656,0.125,140.956,0.661,0.509,5
Rattle Your Cage,02138lFv3Bzncr6ScNbLAF,Skrizzly Adams,6oghIlByD49KFGNmNU8GSH,44,-8.318,0,1,0.123,0.027,0.583,0.0908,179.874,0.565,0.498,8
Cheerleader - Felix Jaehn Remix Radio Edit,023OVLNzXhX0j7CxswUt6D,OMI,6a66cg3HcsjYkisYyQcov6,67,-6.081,1.20E-05,4,0.0305,0.141,0.78,0.138,118.026,0.68,0.594,1
Why Don't You Get A Job,027h5P3kCyktHv9dpHUBBS,The Offspring,4PjiT7SWnUsTTTvKOuR76f,8,-4.435,1.36E-06,5,0.0757,0.0812,0.767,0.337,107.915,0.876,0.595,10
On the Back of Your Neck,027VSEVC8RRjUXLEJAzhH6,Cienfue,5qFXOOxrQVyS4UCq3UilZN,49,-4.596,0.254,9,0.0428,0.1,0.676,0.326,123.018,0.788,0.688,6
WhatWasThat,02803el8p3mKqcJzJ3Agpp,BONES,19WuHd4MxWLzE1fpMmw4S4,0,-12.871,0.0114,0,0.0516,0.0253,0.722,0.189,99.987,0.519,0.128,9
Heartless (feat. Mustard),028JxheELfIvvY4zBXuMjw,Polo G,5WNUX6jisX0NRlVDTm6RDd,76,-8.058,0,7,0.183,0.15,0.776,0.0983,160.038,0.64,0.326,8
Say My Name,029QP3fFtLaW9B9RKr8DAg,Lil Yachty,37i9dQZF1DWT5MrZnPU1zD,54,-6.296,0,10,0.348,0.102,0.798,0.113,144.052,0.553,0.158,7
Paint My Love - 2014 Remastered Version,02AT1Z0nscuElXMWBEzEKu,Michael Learns To Rock,22XKr7O6bzSA5bHiwRCPNK,37,-8.055,7.83E-06,9,0.0243,0.0202,0.584,0.146,142.019,0.507,0.253,6
Hi Life,02BDSCfu9jBYvJ8LkUVttD,UGK,3R5c1OfJY7Rzl3p28pzGtL,42,-7.552,0,5,0.203,0.579,0.663,0.217,79.721,0.606,0.613,4
This Is Our Time,02bTIMbUm8Zgt0cVAiexE4,WILD,5qFXOOxrQVyS4UCq3UilZN,57,-7.341,0.0515,8,0.0283,0.0243,0.531,0.112,145.022,0.724,0.288,6
It Runs Through Me,02CygBCQOIyEuhNZqHHcNx,Tom Misch,6OaTudLqBEuTyUMPxRNpZc,67,-11.028,7.48E-04,11,0.289,0.205,0.802,0.246,96.916,0.607,0.274,1
Nothing Really Matters - Afrojack Remix,02DoXNeIVYvONhTk1fGQrz,Mr. Probz,0cvVad4XizGbOS0vlwZYS5,52,-5.622,1.10E-05,4,0.0378,0.354,0.656,0.0707,128.029,0.752,0.477,4
Who Are You,02DurCgOvDdX0uKEjqcl3W,The Who,37i9dQZF1DXdOEFt9ZX0dh,12,-11.334,0.00265,9,0.0461,0.299,0.653,0.0627,156.32,0.631,0.516,1
I Want You To Want Me,02eF5vF3ASltFpWHDVWkdQ,Cheap Trick,29dTrOurPDrMcrnio2q6hZ,0,-12.778,0.0134,2,0.0298,0.78,0.806,0.15,92.726,0.462,0.736,5
I Heard It Through The Grapevine - Single Version,02gIQlGYI0KVK87Uo9Ekjj,Creedence Clearwater Revival,1gAeQGQ7hr2q7IYmaejDW6,2,-7.962,0.00342,2,0.0413,0.133,0.917,0.0569,117.626,0.643,0.746,6
Without You - Remastered,02gV5Zc9ctbZxD1uTNIok5,Harry Nilsson,1S7BckuYIkEazeNKOSM0uA,13,-13.656,3.68E-06,4,0.0279,0.554,0.453,0.0506,64.177,0.213,0.0955,2
Raise Up,02GwPAncasVL82yC7y2hmN,Petey Pablo,4lcyWQDOzPfcbZrcBI3FOW,54,-5.215,0,1,0.167,0.142,0.735,0.319,156.069,0.844,0.742,7
Compound,02H05NlKnwFQREf0qu89AL,Trellion,37i9dQZF1DWTggY0yqBxES,41,-17.652,0,3,0.0723,0.97,0.371,0.234,66.231,0.196,0.219,8
Get the Party Started,02jcEwywffn3Tsb48fXmlW,P!nk,4TvZA7Pml7mHLgbwNomlnm,66,-3.267,0,11,0.0459,0.00108,0.802,0.173,128.931,0.904,0.961,1
Stray Lines,02jdttpwvUBvKdzHkoL644,Mishaal,6mtYuOxzl58vSGnEDtZ9uB,48,-8.863,1.43E-06,7,0.029,0.364,0.694,0.3,140.021,0.658,0.584,5
Paloma Negra,02K5IV55wIgNNARk3UA95E,Chavela Vargas,1ZlL3IQS8eB0s0RMxz02yD,47,-14.145,3.34E-06,2,0.0418,0.859,0.585,0.0908,151.223,0.036,0.433,3
On Fire,02kdNcUqZRgXwQiYr92gZW,Carmada,4hKPJNFIhdAg4pAksn78FJ,37,-6.082,6.68E-05,7,0.356,0.0302,0.486,0.0914,94.965,0.744,0.402,5
Tequila,02lGHA7bFFplYLihnUWTx8,Juanes,37i9dQZF1DX1QnNyJOBQBv,77,-4.546,0,9,0.112,0.226,0.757,0.237,155.994,0.688,0.704,6
Ella Se Fue,02LnwwnaanFpM5dZNArPBb,Kinto Sol,3o3xRXWMtBMezk0E3wmtGI,60,-5.322,4.73E-04,10,0.0843,0.0386,0.831,0.0708,93.998,0.79,0.96,7
Who Needs You - Remastered 2011,02lvTeAFIIsOd0wVNoRkQ5,Queen,3E88dLx4fgFYY70gdGzdnB,39,-12.823,2.77E-04,9,0.0528,0.261,0.863,0.202,120.645,0.381,0.906,8
44388,02M6vucOvmRfMxTXDUwRXu,BeyoncÃ©,2UsEj2GUukV0GLbsE3rldz,71,-5.137,0,9,0.126,0.0128,0.747,0.126,136.024,0.705,0.56,1
Getting Away With Murder,02MjAy2BTPTdqO19O5VtHO,Papa Roach,64BvJcehegyvhqQtV82Ddz,38,-4.632,8.04E-05,1,0.0547,1.13E-04,0.557,0.233,103.887,0.959,0.331,7
Smile - Years Remix,02mJtllR8CoskckLlrirNV,Galantis,5PCAWKfUWAUj8VeY8G7xRQ,14,-8.387,0.557,0,0.0409,8.82E-05,0.584,0.0314,128.012,0.767,0.101,5
My Nigga,02pf9lLM8Nb8l4u4ts1GWb,YG,6rjxP7GQKoqqgoakzxl3PY,69,-6.864,0,10,0.201,0.0933,0.673,0.21,171.043,0.464,0.762,1
Don't Look Down (feat. Blake Young),02PiwfcW4LuKxhDi3JfH01,CASS,0MhTMIo1bgH6zzPh7BdChT,42,-5.444,1.73E-06,0,0.149,0.0426,0.748,0.149,149.927,0.713,0.87,1
Unity,02q7qbOYbE89NMFEtOklcc,Dimitri Vegas & Like Mike,5GiPRvTccToqwOzkoAcDrY,66,-4.588,0.8,10,0.0406,0.0241,0.65,0.293,129.999,0.912,0.191,1
pete davidson,02Qo5DFgoGTiBGo4ZUvjXm,Ariana Grande,2Aud8PXoTGcyY5esHu4Aaz,36,-10.212,8.59E-06,4,0.0508,0.429,0.654,0.19,119.9,0.312,0.304,6
This Is How We Party (with Icona Pop),02rbSCTm2smTIZ6d8im2NP,R3HAB,0FCHg9zJMNNiOokh3hVcxd,60,-5.428,1.06E-06,4,0.153,0.0572,0.802,0.269,118.997,0.803,0.339,1
Tokyo,02SUyCzxfqllXeEUqVNMVv,Lianne La Havas,48AzM7l4M02DBYd2N3IFLP,46,-9.128,0.0144,4,0.0358,0.306,0.616,0.379,87.99,0.624,0.304,5
Corduroy Dreams,02tvc9CFnTyHuSRlGeNv9w,Rex Orange County,1E5VdGGWkpDQ682gdvJAZH,75,-14.037,0,4,0.053,0.653,0.61,0.103,113.818,0.305,0.222,5
Hit That Jive,02uRToy7bttYcKCO3vIStA,Gramatik,3Dr4NKbsFQ2m7tmPxGRroO,55,-6.099,0.051,1,0.0731,0.0461,0.896,0.164,99.995,0.684,0.686,1
Nobody (feat. Athena Cage) - Single Version; 2007 Remaster,02UYYPOGSBXxGEMce927XV,Keith Sweat,3a9y4eeCJRmG9p4YKfqYIx,45,-8.753,0,9,0.0297,0.397,0.712,0.483,117.896,0.511,0.412,
Go to Hell,02WVK9TPtjSOcmy9cDkd5D,Alice Cooper,6pZlZ20vt3aDjIKw98aBtQ,38,-13.454,0.00976,11,0.117,0.00559,0.374,0.357,166.112,0.663,0.519,4
Paparazzi,02XnQdf7sipaKBBHixz3Zp,Lady Gaga,1CMvQ4Yr5DlYvYzI0Vc2UE,69,-3.973,0,5,0.0438,0.113,0.762,0.094,114.906,0.692,0.397,5
Jet Airliner - Remastered 2017,02Y5MRZD7AsElSRxsQtQzw,Steve Miller Band,7CESj1xKbxdArRzloygvkl,33,-7.54,0,0,0.0402,0.0818,0.511,0.473,121.516,0.857,0.722,1
Say It,02Yq8TMuecXONAjkORNJNM,Flume,5aPwKjwNHr6dnCejLcPTVx,57,-6.828,3.01E-06,3,0.0326,0.0704,0.59,0.0623,75.114,0.531,0.266,6
Faith - Radio Edit,0363w3IUcO4cJMsAFLpfLY,Blasterjaxx,5BqOZpVEqRDfZScvW1QUyA,0,-6.566,0.00231,9,0.0486,0.00636,0.672,0.187,128.009,0.692,0.67,1
Chloe (You're the One I Want),036GQb6SETOJJG8BxJTNxc,Emblem3,222nc9tKxKhfZ2GBrOpwH3,51,-3.329,0,0,0.0359,0.039,0.71,0.127,118.024,0.925,0.93,1
Save My Night - BlasterJaxx Remix,037yW9RzsLze4OmBYmcH4G,Armin van Buuren,6KnQDwp0syvhfHOR4lWP7x,16,-4.886,0.745,8,0.0475,0.00196,0.686,0.052,129.972,0.906,0.165,1
Where I Won't Be Found,038k4V2bjaAQsfpYV7V9WP,Seven Lions,5EgzhnSirHRvu1AqlFLllv,37,-3.634,0,0,0.0461,0.0919,0.568,0.3,129.931,0.767,0.275,5
She Don't Give a Fo,03a359wbiUsjN9h6yzXvmS,Duki,37i9dQZF1DX0JcH25923HT,71,-4.49,0,1,0.14,0.345,0.854,0.165,119.938,0.556,0.342,2
Go Getta,03b1NUHnoavfpLLKcEMfIb,Jeezy,4lcyWQDOzPfcbZrcBI3FOW,50,-6.584,0,3,0.143,0.105,0.397,0.15,174.039,0.74,0.431,7
Payback - Original Mix,03bF2V5oDkhYDrMY6m7ZLB,Sandro Silva,5BqOZpVEqRDfZScvW1QUyA,25,-2.909,0.384,6,0.0526,8.73E-04,0.264,0.112,127.87,0.981,0.23,1
melancholyism.,03ejfFAbwrrANbH4fZzF0W,Super Whatevr,5qFXOOxrQVyS4UCq3UilZN,46,-6.201,1.36E-04,0,0.079,0.0357,0.44,0.0587,93.353,0.652,0.5,5
Slow Motion,03GzYByXsXHcoEAxjsWv9G,Color Me Badd,1dsaMvnC1hXPCNGC4aVtjj,21,-7.747,0.752,6,0.0648,0.00531,0.783,0.0435,92.042,0.885,0.941,1
In Between,03jdl5GTBhKsgB1Yw8mVPh,Beartooth,4TG1lzMD9HFvZ9E1Bk6Gnu,64,-2.642,0,7,0.138,0.00285,0.462,0.666,128.092,0.972,0.449,5
BARRACA (feat. MC Pikachu),03L9G5TQGdhASEknspRIZQ,Garmiani,73uj4YmsC7SJ6SbUMTvf07,50,-1.262,0.38,5,0.0747,0.2,0.708,0.351,128.031,0.984,0.929,1
Watch Me Dance,03LhreaNy6FWQxSxTX9u9H,Tom Misch,07SNJ4MwYba9wwmzrbjmYi,37,-13.413,0.0316,10,0.0341,0.323,0.771,0.0645,118.003,0.29,0.192,5
Baila Conmigo,03nYlT73VrrZdiw3ZaTuti,Manuel Turizo,37i9dQZF1DXco4ODkIraMD,53,-9.248,9.92E-06,0,0.145,0.384,0.884,0.0973,90.023,0.348,0.563,5
California,03PpdID0NKPVUrRtHybsE1,DJ Quik,206vi9Q0p3juAU73flxPsz,11,-3.012,0,2,0.266,0.0967,0.917,0.0839,98.927,0.745,0.759,8
Switch,03ShCBJrWXSp3vogMeCIxz,Afrojack,7eERKCkgNKCCx5GYdeMIZf,54,-6.252,2.10E-04,11,0.138,0.174,0.768,0.152,109.96,0.676,0.61,3
Stranger,03sno6MIkoVX5eC4pRKMzr,MOTHXR,5qFXOOxrQVyS4UCq3UilZN,49,-5.515,0.75,8,0.0358,0.0117,0.603,0.0941,94.991,0.688,0.561,3
How Ya Like Me Now - Longer Version,03SrVtN1UcstvinRAjrfff,Kool Moe Dee,4nX6BscFtR1CozSCfv2cuR,19,-9.225,9.73E-04,1,0.105,0.00369,0.873,0.0933,104.196,0.859,0.542,7
Hoops - Acoustic,03taJRQ6nyzYWac6HDysMh,JONES,1nFfDHtp8RY3obgen8KODl,47,-6.787,0,11,0.033,0.884,0.74,0.107,120.032,0.198,0.19,3
Starstruck,03teNQu8rWlFnNzF1ULXIq,Christopher Wilde,45AKTTGQEfYgAyidW5hucn,55,-4.835,0,0,0.0776,0.0353,0.555,0.0783,174.007,0.8,0.801,1
No Hands (feat. Roscoe Dash & Wale),03tqyYWC9Um2ZqU0ZN849H,Waka Flocka Flame,37i9dQZF1DWUFmyho2wkQU,74,-6.366,0,1,0.0391,0.00544,0.76,0.241,131.497,0.595,0.361,1
You Don't Know,03uSlN1JqW0MI6OCl7UQEa,Psalm Trees,37i9dQZF1DWWQRwui0ExPn,58,-8.706,0.849,2,0.047,0.673,0.834,0.143,88.015,0.289,0.821,3
CAN YOU HEAR ME NOW?,03vri3F9DxZ5QVZ5LWsgn1,Bishop Briggs,1VnvyBDqoV5TCZAnXYferL,52,-6.285,5.16E-05,7,0.103,0.00455,0.718,0.0726,100.987,0.581,0.406,5
Encanto,03wOwEbTS3JR2Y2U0TxkFx,Don Omar,37i9dQZF1DWYBUdckfg1va,49,-5.123,5.03E-04,8,0.0499,0.145,0.744,0.0752,172.03,0.871,0.902,1
Down 4 Whateva,03WsrEB8eyCeUfvRxGP5JX,Nuttin' Nyce,0dmInkymNnOTWvEFamSNzb,24,-6.038,1.29E-06,11,0.0582,0.0363,0.688,0.297,97.75,0.719,0.653,3
Cemetry Gates - 2011 Remaster,03yOjwHoOPDlTUg0NRxN6t,The Smiths,3e6gYPyrTbaB8BWgSHCt5j,52,-7.007,0,7,0.0306,0.151,0.55,0.222,105.354,0.796,0.622,1
I Don't Wanna,03yUFstSdQheHSdqQRWlmr,Aaliyah,1dsaMvnC1hXPCNGC4aVtjj,0,-7.385,0,9,0.0352,0.546,0.706,0.276,130.034,0.522,0.684,3
